,1,2,3,4,5,6,7,8,9,10
its,0,0.3979400086720376,0,0,0.3979400086720376,0.5177318877571058,0,0.5177318877571058,0,0
itself,0,0,0,1,0,0,0,0,0,0
james,0,0,0,0,1,0,0,0,0,0
january,0.5228787452803376,0,0,0,0,0,0,0,0.5228787452803376,0.5228787452803376
john,0,0,0.5228787452803376,0.7723553082947351,0.5228787452803376,0,0,0,0,0
korea,0,1,0,0,0,0,0,0,0,0
last,0,0,0,1,0,0,0,0,0,0
lead,0,0,0,0,1,0,0,0,0,0
local,0,0,0,1,0,0,0,0,0,0
major,0,0,0,0.6989700043360187,0,0,0.6989700043360187,0,0,0
maker,0.5228787452803376,0,0,0,0,0.5228787452803376,0.5228787452803376,0,0,0
manufacturer,0,0,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187
marshall,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187,0,0
mass,0,0,0,0,0,1,0,0,0,0
may,0,0,0,0,0,0,0,1,0,0
metal,0,0,0,0,0,1.3010299956639813,0,0,0,0
millbury,0,0,0,0,0,1,0,0,0,0
mission,0,0,0,0,0,0,1,0,0,0
month,0,0,0,0,0,0,0,0,1,0
more,0,0,0,0,0,0,0,0,0,0
mr,0,0,1.3010299956639813,0,0,0,0,0,0,0
nasa,0,0,0,0,0,0,1,0,0,0
national,0,0,0,0.6989700043360187,0,0,0,0.6989700043360187,0,0
neither,0,0,1,0,0,0,0,0,0,0
new,0,0,0,0,0,0,0.6989700043360187,0,0,0.6989700043360187
nickel,0,0,0,0,0,1,0,0,0,0
nor,0,0,1,0,0,0,0,0,0,0
of,0,0,0,0,0,0,0,0,0,0
official,0,0,1,0,0,0,0,0,0,0
on,0,0,0,0,0,0,0,0,0,0
operation,0,0,0,0,1,0,0,0,0,0
option,0,0,0,0,0,0,0,1,0,0
order,0,0,0,0,0,0,0,0,0,1
other,0,0,0,0,0,0,0,0,0,0
over,0,0,0,0,0,0,0,0,0,0
pattern,0,0,0,0,0,0,0,0,1,0
perform,0,0,0,0,0,0,1,0,0,0
placement,0,0,0,1,0,0,0,0,0,0
plan,0,0,0,0,0,1,0,0,0,0
plasma,0,0,0,0,0,1,0,0,0,0
post,0,1,0,0,0,0,0,0,0,0
powder,0,0,0,0,0,1,0,0,0,0
president,0,0,1,0,0,0,0,0,0,0
previous,0,0,0,0,0,0,0,0,1,0
produce,0,0,0,0,0,1,0,0,0,0
production,0.6989700043360187,0,0,0,0.6989700043360187,0,0,0,0,0
program,0,0,0.6989700043360187,0,0.6989700043360187,0,0,0,0,0
project,0,0,0,0,0,1,0,0,0,0
proposed,0,0,0,0,1,0,0,0,0,0
provide,0,0,0,0,0,0,0,1,0,0
provisional,1,0,0,0,0,0,0,0,0,0
put,0,0,0,0,1,0,0,0,0,0
reach,0,0,1,0,0,0,0,0,0,0
received,0,0,0,0,0,0,0,1,0,0
recent,0,0,0,0,0,0,0,0,1,0
recorded,0,0,0,0,0,0,0,0,1,0
refine,0,0,0,0,0,1,0,0,0,0
reliance,0,0,0,1,0,0,0,0,0,0
renewal,0,0,0,0,0,0,0,1,0,0
represent,0,0,0,1,0,0,0,0,0,0
representation,0,0,0,0,1,0,0,0,0,0
retirement,0,0,1,0,0,0,0,0,0,0
rose,1,0,0,0,0,0,0,0,0,0
rosenfield,0,0,0.9093809417105434,0,0.6989700043360187,0,0,0,0,0
sale,1,0,0,0,0,0,0,0,0,0
same,0,0,0,0,0,0,0,0,0,0
say,0.0969100130080564,0.0969100130080564,0,0,0.0969100130080564,0.126082833803668,0.0969100130080564,0.0969100130080564,0.0969100130080564,0.0969100130080564
seasonally,0,0,0,0,0,0,0,0,0,1
sell,0,0,0,0,1,0,0,0,0,0
senior,0,0,1,0,0,0,0,0,0,0
service,0,0.5228787452803376,0,0,0,0,0.7723553082947351,0.6802809317048656,0,0
shipment,0,0,0,0,0,0,0,0,1.3010299956639813,0
some,0,0,0,0,0,0,0,0,0,0
source,0,0,0,0,1.3010299956639813,0,0,0,0,0
south,0,1,0,0,0,0,0,0,0,0
space,0,0,0,0,0,0,0,1.3010299956639813,0,0
station,0,0,0,0.6989700043360187,0.6989700043360187,0,0,0,0,0
statistics,0,0,0,0,0,0,0,0,0,1
step,0,0,1,0,0,0,0,0,0,0
subcontractor,0,0,0,0,0,0,1,0,0,0
subsidiary,0,0,0,0,0,0,1,0,0,0
surplus,0,1,0,0,0,0,0,0,0,0
system,0,0,0,0,0,1,0,0,0,0
technology,0,0,0,0,0,0.6989700043360187,0.6989700043360187,0,0,0
television,0,0,0,1,0,0,0,0,0,0
term,0,0,0,0,0,0,0,1,0,0
than,0,0,0,0,0,0,0,0,0,0
that,0,0,0,0,0,0,0,0,0,0
the,0,0,0,0,0,0,0,0,0,0
there,0,0,0,0,0,0,0,0,0,0
titanium,0,0,0,0,0,1,0,0,0,0
to,0,0,0,0,0,0,0,0,0,0
trade,0,1,0,0,0,0,0,0,0,0
transfer,0,1,0,0,0,0,0,0,0,0
trend,0,0,0,0,0,0,0,0,1.3010299956639813,0
tv,0,0,0,0,1,0,0,0,0,0
under,0,0,0,0,0,0,0,0,0,0
unilateral,0,1,0,0,0,0,0,0,0,0
unisy,0,0,0,0,0,0,1,0,0,0
unit,0.5228787452803376,0,0,0,0.5228787452803376,0,0,0.5228787452803376,0,0
upturn,0,0,0,0,0,0,0,0,1,0
value,0,0,0,0,0.6989700043360187,0,0,0.6989700043360187,0,0
vehicle,1,0,0,0,0,0,0,0,0,0
vice,0,0,1,0,0,0,0,0,0,0
which,0,0,0,0,0,0,0,0,0,0
will,0,0,0,0,0,1.3010299956639813,0,0,0,0
with,0,0,0,0,0,0,0,0,0,0
wyman,0,0,0,0,0,1,0,0,0,0
year,0.5177318877571058,0.3979400086720376,0,0.3979400086720376,0,0,0,0.5878056449127935,0,0
